DateRep;Nombre de jours;Chine;Chine cumul;Chine 100;Chine moyenne;Corée;Corée cumul;Corée 100;Corée moyenne;Japon;Japon cumul;Japon 100;Japon moyenne;France;France cumul;France 100;France moyenne;Allemagne;Allemagne cumul;Allemagne 100;Allemagne moyenne;Royaume-Uni;Royaume-Uni cumul;Royaume-Uni 100;Royaume-Uni moyenne;Italie;Italie cumul;Italie 100;Italie moyenne;Espagne;Espagne cumul;Espagne 100;Espagne moyenne;États-Unis;États-Unis cumul;États-Unis 100;États-Unis moyenne;Iran;Iran cumul;Iran 100;Iran moyenne;Brésil;Brésil cumul;Brésil 100;Brésil moyenne;Turquie;Turquie cumul;Turquie 100;Turquie moyenne;Suède;Suède cumul;Suède 100;Suède moyenne;Danemark;Danemark cumul;Danemark 100;Danemark moyenne;Norvège;Norvège cumul;Norvège 100;Norvège moyenne;Finlande;Finlande cumul;Finlande 100;Finlande moyenne;Russie;Russie cumul;Russie 100;Russie moyenne;Australie;Australie cumul;Australie 100;Australie moyenne;Nouvelle-Zélande;Nouvelle-Zélande cumul;Nouvelle-Zélande 100;Nouvelle-Zélande moyenne;Singapour;Singapour cumul;Singapour 100;Singapour moyenne;Inde;Inde cumul;Inde 100;Inde moyenne;Pérou;Pérou cumul;Pérou 100;Pérou moyenne;Mexique;Mexique cumul;Mexique 100;Mexique moyenne;Chili;Chili cumul;Chili 100;Chili moyenne
2019-12-31;1;27;27;80;81;0;0;80;0;0;0;93;6;0;0;100;24;0;0;111;20;0;0;85;10;0;0;79;92;0;0;136;19;0;0;89;6;0;0;95;14;0;0;98;5;;0;98;20;0;0;137;3;0;0;113;3;0;0;86;5;0;0;155;10;0;0;93;15;0;0;80;5;0;0;102;5;0;0;98;1;0;0;93;5;;0;86;4;0;0;93;7;;0;75;2
2020-01-01;2;0;27;216;117;0;0;155;0;0;0;105;8;0;0;130;28;0;0;129;26;0;0;115;14;0;0;132;124;0;0;192;27;0;0;103;6;0;0;139;20;0;0;121;7;;0;191;38;0;0;161;5;0;0;264;3;0;0;113;8;0;0;183;29;0;0;114;17;0;0;100;5;0;0;142;6;0;0;102;1;0;0;125;7;;0;117;6;0;0;118;9;;0;156;3
2020-01-02;3;0;27;235;178;0;0;345;0;0;0;132;9;0;0;178;38;0;0;157;34;0;0;163;21;0;0;229;150;0;0;267;37;0;0;125;4;0;0;245;34;0;0;200;10;;0;359;71;0;0;203;8;0;0;516;4;0;0;147;12;0;0;210;33;0;0;147;24;0;0;112;7;0;0;189;7;0;0;106;2;0;0;137;7;;0;145;6;0;0;164;13;;0;201;3
2020-01-03;4;17;44;386;253;0;0;601;0;0;0;144;10;0;0;212;55;0;0;196;50;0;0;206;26;0;0;322;222;0;0;348;47;0;0;159;5;0;0;388;53;0;0;234;12;;0;670;111;0;0;248;18;0;0;676;5;0;0;169;15;0;0;267;32;0;0;199;30;0;0;126;7;0;0;262;9;0;0;108;2;0;0;165;8;;0;234;9;0;0;203;12;;0;238;5
2020-01-04;5;0;44;526;363;0;0;762;0;0;0;144;11;0;0;285;79;0;0;262;90;0;0;273;34;0;0;400;258;0;0;531;71;0;0;233;8;0;0;593;81;0;0;291;15;;0;947;135;0;0;326;21;0;0;804;15;0;0;192;19;0;0;272;40;0;0;253;35;0;0;156;10;0;0;338;12;0;0;110;2;0;0;191;8;;0;263;11;0;0;251;15;;0;342;6
2020-01-05;6;15;59;623;592;0;0;892;1;0;0;164;12;0;0;423;88;0;0;400;105;0;0;321;40;0;0;650;311;0;0;764;101;0;0;338;7;0;0;978;134;0;0;428;25;;0;1236;174;0;0;462;27;0;0;827;37;0;0;277;21;0;0;319;39;0;0;306;54;0;0;197;10;0;0;416;16;0;0;112;2;0;0;231;9;;0;318;15;0;0;316;21;;0;434;8
2020-01-06;7;0;59;882;781;0;0;1146;1;0;0;186;12;0;0;613;142;0;0;684;110;0;0;373;46;0;0;888;384;0;0;1094;145;0;0;433;10;0;0;1501;206;0;0;621;30;;0;1529;212;0;0;620;33;0;0;875;72;0;0;489;24;0;0;369;40;0;0;438;49;0;0;249;11;0;0;476;19;0;0;117;2;0;0;320;9;;0;363;18;0;0;367;25;;0;537;9
2020-01-07;8;0;59;1323;1016;0;0;1595;2;0;0;210;14;0;0;716;176;0;0;847;140;0;0;456;53;0;0;1128;458;0;0;1527;199;0;0;554;14;0;0;2336;320;0;0;904;37;;0;1872;253;0;0;775;43;0;0;932;94;0;0;621;35;0;0;400;44;0;0;438;54;0;0;298;14;0;0;552;24;0;0;130;3;0;0;439;8;;0;395;30;0;0;405;30;;0;632;20
2020-01-08;9;0;59;1988;1262;0;0;2022;2;0;0;230;15;0;0;1126;225;0;0;902;157;0;0;590;68;0;0;1689;535;0;0;2299;301;0;0;754;25;0;0;2922;398;0;0;1128;54;;0;2433;320;0;0;924;61;0;0;1024;112;0;0;621;62;0;0;450;35;0;0;495;73;0;0;375;19;0;0;647;33;0;0;138;2;0;0;492;12;;0;416;32;0;0;475;38;;0;746;26
2020-01-09;10;0;59;2775;1498;0;0;2931;2;0;0;239;17;0;0;1412;285;0;0;1139;186;0;0;707;78;0;0;2036;679;0;0;3274;430;0;0;1025;39;0;0;3513;467;0;0;1546;78;;0;3629;467;0;0;1032;80;0;0;1115;114;0;0;907;76;0;0;521;38;0;0;658;92;0;0;454;25;0;0;647;43;0;0;150;2;0;0;562;12;;0;558;39;0;0;585;41;;0;922;31
