Année;Mois;Valeur;Codes
2020-12;12;63700;P
2020-11;11;66200;P
2020-10;10;58200;P
2020-09;9;49400;P
2020-08;8;49300;P
2020-07;7;47200;P
2020-06;6;46300;P
2020-05;5;49200;P
2020-04;4;67000;P
2020-03;3;63200;P
2020-02;2;51400;P
2020-01;1;57400;P
2019-12;12;54958;A
2019-11;11;51905;A
2019-10;10;50410;A
2019-09;9;46181;A
2019-08;8;47056;A
2019-07;7;48128;A
2019-06;6;46468;A
2019-05;5;49100;A
2019-04;4;49160;A
2019-03;3;53630;A
2019-02;2;55837;A
2019-01;1;60410;A
2018-12;12;52985;A
2018-11;11;49736;A
2018-10;10;49993;A
2018-09;9;45803;A
2018-08;8;47176;A
2018-07;7;48331;A
2018-06;6;45027;A
2018-05;5;47841;A
2018-04;4;50416;A
2018-03;3;60391;A
2018-02;2;52175;A
2018-01;1;59774;A
2017-12;12;56937;A
2017-11;11;50011;A
2017-10;10;49452;A
2017-09;9;46144;A
2017-08;8;46640;A
2017-07;7;46349;A
2017-06;6;44393;A
2017-05;5;48389;A
2017-04;4;47025;A
2017-03;3;50251;A
2017-02;2;52538;A
2017-01;1;68145;A
2016-12;12;57339;A
2016-11;11;49773;A
2016-10;10;50350;A
2016-09;9;44833;A
2016-08;8;45804;A
2016-07;7;46812;A
2016-06;6;44483;A
2016-05;5;48042;A
2016-04;4;48724;A
2016-03;3;54155;A
2016-02;2;49454;A
2016-01;1;54096;A
2015-12;12;50721;A
2015-11;11;46604;A
2015-10;10;50100;A
2015-09;9;44660;A
2015-08;8;45784;A
2015-07;7;46487;A
2015-06;6;44636;A
2015-05;5;46231;A
2015-04;4;47688;A
2015-03;3;54948;A
2015-02;2;57375;A
2015-01;1;58446;A
2014-12;12;52336;A
2014-11;11;46941;A
2014-10;10;46462;A
2014-09;9;43557;A
2014-08;8;44160;A
2014-07;7;44612;A
2014-06;6;43229;A
2014-05;5;45462;A
2014-04;4;45476;A
2014-03;3;49311;A
2014-02;2;46643;A
2014-01;1;51104;A
2013-12;12;50312;A
2013-11;11;45286;A
2013-10;10;46016;A
2013-09;9;42902;A
2013-08;8;42596;A
2013-07;7;45164;A
2013-06;6;43147;A
2013-05;5;45293;A
2013-04;4;46892;A
2013-03;3;54122;A
2013-02;2;51433;A
2013-01;1;56073;A
2012-12;12;51290;A
2012-11;11;46638;A
