;dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2019;continentExp;Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
0;9/23/20;23;9;2020;71;2;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,64293148
1;9/22/20;22;9;2020;30;3;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,52464041
2;9/21/20;21;9;2020;0;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,69813397
3;9/20/20;20;9;2020;125;4;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,89265706
4;9/19/20;19;9;2020;47;1;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,61664457
5;9/18/20;18;9;2020;0;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,53515517
6;9/17/20;17;9;2020;17;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,65344624
7;9/16/20;16;9;2020;40;10;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,70864874
8;9/15/20;15;9;2020;99;6;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,62715933
9;9/14/20;14;9;2020;75;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,45629446
10;9/13/20;13;9;2020;35;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,3090878
11;9/12/20;12;9;2020;34;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,22496971
12;9/11/20;11;9;2020;28;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,16450983
13;9/10/20;10;9;2020;24;2;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,09879257
14;9/9/20;9;9;2020;26;3;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,18028197
15;9/8/20;8;9;2020;96;3;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,11456471
16;9/7/20;7;9;2020;74;2;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,04884745
17;9/6/20;6;9;2020;20;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;0,85432437
18;9/5/20;5;9;2020;16;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,07776305
19;9/4/20;4;9;2020;45;1;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,13559424
20;9/3/20;3;9;2020;38;3;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,27228614
21;9/2/20;2;9;2020;9;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,59298636
22;9/1/20;1;9;2020;34;4;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,56932815
23;8/31/20;31;8;2020;19;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,48783875
24;8/30/20;30;8;2020;3;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,55618469
25;8/29/20;29;8;2020;11;1;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,86374147
26;8/28/20;28;8;2020;3;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,85322671
27;8/27/20;27;8;2020;55;4;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,05300717
28;8/26/20;26;8;2020;1;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,10820967
29;8/25/20;25;8;2020;71;10;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,67074941
30;8/24/20;24;8;2020;0;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,48411239
31;8/23/20;23;8;2020;105;2;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,48411239
32;8/22/20;22;8;2020;38;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,31061883
33;8/21/20;21;8;2020;97;2;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,41576644
34;8/20/20;20;8;2020;160;8;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,26855978
35;8/19/20;19;8;2020;0;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,02409158
36;8/18/20;18;8;2020;3;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,23964419
37;8/17/20;17;8;2020;45;5;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,32901966
38;8/16/20;16;8;2020;120;7;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,21072859
39;8/15/20;15;8;2020;7;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,89528575
40;8/14/20;14;8;2020;79;9;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,3185049
41;8/13/20;13;8;2020;76;10;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,29747538
42;8/12/20;12;8;2020;215;32;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,09769491
43;8/11/20;11;8;2020;0;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;1,80328159
44;8/10/20;10;8;2020;0;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,07929408
45;8/9/20;9;8;2020;39;5;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,35793526
46;8/8/20;8;8;2020;78;9;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,57348786
47;8/7/20;7;8;2020;41;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,65234858
48;8/6/20;6;8;2020;67;4;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,57874525
49;8/5/20;5;8;2020;82;6;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,89681678
50;8/4/20;4;8;2020;37;4;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;2,97567749
51;8/3/20;3;8;2020;0;1;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;3,2464326
52;8/2/20;2;8;2020;0;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;3,70382472
53;8/1/20;1;8;2020;168;12;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;3,73536901
54;7/31/20;31;7;2020;71;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;3,86943221
55;7/30/20;30;7;2020;0;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;3,88257567
56;7/29/20;29;7;2020;103;1;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;4,55026302
57;7/28/20;28;7;2020;105;1;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;5,02868466
58;7/27/20;27;7;2020;106;10;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;4,76318694
59;7/26/20;26;7;2020;121;13;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;4,48454576
60;7/25/20;25;7;2020;108;35;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;4,38991291
61;7/24/20;24;7;2020;13;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;5,30995453
62;7/23/20;23;7;2020;188;21;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;5,9460976
63;7/22/20;22;7;2020;112;4;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;5,60699654
64;7/21/20;21;7;2020;140;5;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;5,8646082
65;7/20/20;20;7;2020;174;17;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;6,63481448
66;7/19/20;19;7;2020;12;17;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;6,91082696
67;7/18/20;18;7;2020;219;32;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;7,79406692
68;7/17/20;17;7;2020;76;21;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;8,01224823
69;7/16/20;16;7;2020;254;49;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;8,30140416
70;7/15/20;15;7;2020;285;33;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;8,47226904
71;7/14/20;14;7;2020;4;2;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;8,4564969
72;7/13/20;13;7;2020;0;0;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;9,15835722
73;7/12/20;12;7;2020;85;16;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;10,08102754
74;7/11/20;11;7;2020;458;37;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;10,29132277
75;7/10/20;10;7;2020;255;20;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;9,81290112
76;7/9/20;9;7;2020;59;1;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;10,35178265
77;7/8/20;8;7;2020;210;16;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;10,81180346
78;7/7/20;7;7;2020;433;56;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;11,14827583
79;7/6/20;6;7;2020;279;38;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;10,82494691
80;7/5/20;5;7;2020;348;7;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;11,16667666
81;7/4/20;4;7;2020;302;12;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;11,68715735
82;7/3/20;3;7;2020;186;33;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;11,80281973
83;7/2/20;2;7;2020;319;28;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;13,04356158
84;7/1/20;1;7;2020;279;13;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;13,68759072
85;6/30/20;30;6;2020;271;12;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;15,01245066
86;6/29/20;29;6;2020;351;18;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;16,30050894
87;6/28/20;28;6;2020;165;20;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;17,12328902
88;6/27/20;27;6;2020;276;8;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;18,15110695
89;6/26/20;26;6;2020;460;36;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;19,15000929
90;6/25/20;25;6;2020;234;21;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;19,90444343
91;6/24/20;24;6;2020;338;20;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;21,08735409
92;6/23/20;23;6;2020;310;17;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;21,62360692
93;6/22/20;22;6;2020;409;12;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;22,32020987
94;6/21/20;21;6;2020;546;21;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;23,32436959
95;6/20/20;20;6;2020;346;2;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;23,41900244
96;6/19/20;19;6;2020;658;42;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;24,91472726
97;6/18/20;18;6;2020;564;13;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,25382831
98;6/17/20;17;6;2020;783;13;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,76379424
99;6/16/20;16;6;2020;761;7;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,70070567
100;6/15/20;15;6;2020;664;20;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,13290856
101;6/14/20;14;6;2020;556;5;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,1749676
102;6/13/20;13;6;2020;656;20;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,98986161
103;6/12/20;12;6;2020;747;21;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,90311483
104;6/11/20;11;6;2020;684;21;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,46412354
105;6/10/20;10;6;2020;542;15;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,30903081
106;6/9/20;9;6;2020;575;12;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,61395889
107;6/8/20;8;6;2020;791;30;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,65601794
108;6/7/20;7;6;2020;582;18;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,11187903
109;6/6/20;6;6;2020;915;9;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;25,63761711
110;6/5/20;5;6;2020;787;6;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;24,65185822
111;6/4/20;4;6;2020;758;24;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;23,97891349
112;6/3/20;3;6;2020;759;5;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;23,27968185
113;6/2/20;2;6;2020;545;8;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;22,81177497
114;6/1/20;1;6;2020;680;8;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;22,45164439
115;5/31/20;31;5;2020;866;3;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;21,35285181
116;5/30/20;30;5;2020;623;11;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;19,07640596
117;5/29/20;29;5;2020;580;8;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;20,23302972
118;5/28/20;28;5;2020;625;7;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;19,00543132
119;5/27/20;27;5;2020;658;1;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;18,04333065
120;5/26/20;26;5;2020;591;1;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;17,04968569
121;5/25/20;25;5;2020;584;2;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;16,24530644
122;5/24/20;24;5;2020;782;11;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;15,68013801
123;5/23/20;23;5;2020;540;12;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;14,29481819
124;5/22/20;22;5;2020;531;6;Afghanistan;AF;AFG;38041757.0;Méditerranée orientale;13,44049382
