jour;sexe;hosp;rea;rad;dc
2020-03-18;0;2972;771;816;218
2020-03-19;0;4073;1002;1180;327
2020-03-20;0;5226;1297;1587;450
2020-03-21;0;5900;1453;1811;525
2020-03-22;0;6954;1674;2117;632
2020-03-23;0;8673;2080;2567;860
2020-03-24;0;10163;2503;3281;1100
2020-03-25;0;12072;2935;4085;1388
2020-03-26;0;13879;3351;4947;1696
2020-03-27;0;15701;3758;5698;1995
2020-03-28;0;17580;4236;6624;2314
2020-03-29;0;19311;4592;7131;2606
2020-03-30;0;20946;5056;7923;3024
2020-03-31;0;22672;5496;9443;3523
2020-04-01;0;24543;5940;10934;4032
2020-04-02;0;26131;6305;12427;4503
2020-04-03;0;27302;6556;14007;5091
2020-04-04;0;28003;6723;15437;5532
2020-04-05;0;28747;6859;16182;5889
2020-04-06;0;29569;6948;17249;6494
2020-04-07;0;29871;7004;19336;7091
2020-04-08;0;30217;7019;21253;7632
2020-04-09;0;30608;6937;23205;8044
2020-04-10;0;31108;6875;24931;8598
2020-04-11;0;31159;6752;26390;8943
2020-04-12;0;31665;6714;27185;9253
2020-04-13;0;31952;6690;27717;9588
2020-04-14;0;32131;6599;28804;10129
2020-04-15;0;31623;6331;30952;10643
2020-04-16;0;31172;6139;32806;11053
2020-04-17;0;31061;5922;34414;11470
2020-04-18;0;30515;5733;35977;11834
2020-04-19;0;30486;5644;36572;12061
2020-04-20;0;30462;5584;37403;12505
2020-04-21;0;29984;5334;39175;12892
2020-04-22;0;29627;5127;40651;13225
2020-04-23;0;29113;4967;42082;13536
2020-04-24;0;28554;4785;43486;13841
2020-04-25;0;28119;4641;44587;14039
2020-04-26;0;28114;4598;44896;14191
2020-04-27;0;27954;4526;45506;14486
2020-04-28;0;27607;4392;46322;14676
2020-04-29;0;26736;4128;48221;15041
2020-04-30;0;26192;3947;49469;15231
2020-05-01;0;25809;3819;50204;15350
2020-05-02;0;25751;3770;50554;15468
2020-05-03;0;25739;3762;50776;15564
2020-05-04;0;25472;3639;51363;15807
2020-05-05;0;24701;3375;52728;16041
2020-05-06;0;23912;3095;53963;16218
2020-05-07;0;23139;2911;55018;16367
2020-05-08;0;22657;2820;55773;16478
2020-05-09;0;22547;2764;56029;16554
2020-05-10;0;22502;2728;56208;16623
2020-05-11;0;22219;2666;56715;16801
2020-05-12;0;21530;2496;57776;16984
2020-05-13;0;21009;2385;58664;17082
2020-05-14;0;20401;2256;59596;17205
2020-05-15;0;19801;2162;60439;17323
2020-05-16;0;19372;2091;61057;17393
2020-05-17;0;19302;2047;61204;17447
2020-05-18;0;18956;1958;61719;17570
2020-05-19;0;18409;1854;62554;17695
2020-05-20;0;17882;1754;63345;17793
2020-05-21;0;17527;1708;63849;17851
2020-05-22;0;17327;1664;64200;17925
2020-05-23;0;17122;1628;64538;17968
2020-05-24;0;17129;1618;64608;18003
2020-05-25;0;16742;1572;65190;18093
2020-05-26;0;16209;1519;65870;18175
2020-05-27;0;15627;1467;66575;18240
2020-05-28;0;15155;1395;67182;18306
2020-05-29;0;14643;1328;67794;18367
2020-05-30;0;14329;1293;68259;18424
2020-05-31;0;14271;1287;68346;18455
2020-06-01;0;14237;1270;68431;18486
2020-06-02;0;13978;1221;68803;18570
2020-06-03;0;13465;1179;69446;18651
2020-06-04;0;13054;1133;69967;18695
2020-06-05;0;12650;1065;70494;18741
2020-06-06;0;12433;1030;70796;18772
2020-06-07;0;12415;1024;70832;18785
2020-06-08;0;12269;995;71052;18839
2020-06-09;0;11915;926;71496;18892
2020-06-10;0;11632;904;71822;18915
2020-06-11;0;11420;875;72139;18942
2020-06-12;0;11079;851;72562;18970
2020-06-13;0;10864;843;72798;18994
2020-06-14;0;10836;841;72849;19003
2020-06-15;0;10707;818;73034;19032
2020-06-16;0;10490;792;73325;19070
2020-06-17;0;10222;744;73657;19098
2020-06-18;0;10080;724;73877;19126
2020-06-19;0;9925;699;74107;19140
2020-06-20;0;9792;687;74302;19156
2020-06-21;0;9778;687;74362;19163
2020-06-22;0;9648;673;74602;19186
2020-06-23;0;9446;654;74861;19212
2020-06-24;0;9254;630;75117;19223
2020-06-25;0;9096;623;75341;19244
2020-06-26;0;8841;606;75639;19270
2020-06-27;0;8715;594;75803;19285
2020-06-28;0;8727;594;75833;19287
2020-06-29;0;8643;591;75989;19305
2020-06-30;0;8491;574;76264;19326
2020-07-01;0;8291;554;76539;19344
2020-07-02;0;8103;545;76792;19358
2020-07-03;0;7946;533;77049;19376
2020-07-04;0;7863;517;77160;19388
2020-07-05;0;7863;521;77179;19390
2020-07-06;0;7806;521;77308;19403
2020-07-07;0;7550;511;77644;19437
2020-07-08;0;7254;503;77985;19469
2020-07-09;0;7134;486;78159;19483
2020-07-10;0;7020;471;78377;19508
2020-07-11;0;6995;470;78454;19514
2020-07-12;0;6991;473;78486;19515
2020-07-13;0;6941;467;78586;19533
2020-07-14;0;6907;465;78670;19539
2020-07-15;0;6873;457;78809;19559
2020-07-16;0;6754;456;79025;19577
2020-07-17;0;6646;452;79233;19591
2020-07-18;0;6614;450;79322;19599
