Date;Afrique;Amérique du Nord;Amérique latine & Caraïbes;Asie du Sud-Est;Europe;Méditerranée orientale;Pacifique occidental;Autres
2019-12-31;0;0;0;0;0;0;27;0
2020-01-01;0;0;0;0;0;0;0;0
2020-01-02;0;0;0;0;0;0;0;0
2020-01-03;0;0;0;0;0;0;17;0
2020-01-04;0;0;0;0;0;0;0;0
2020-01-05;0;0;0;0;0;0;15;0
2020-01-06;0;0;0;0;0;0;0;0
2020-01-07;0;0;0;0;0;0;0;0
2020-01-08;0;0;0;0;0;0;0;0
2020-01-09;0;0;0;0;0;0;0;0
2020-01-10;0;0;0;0;0;0;0;0
2020-01-11;0;0;0;0;0;0;0;0
2020-01-12;0;0;0;0;0;0;0;0
2020-01-13;0;0;0;1;0;0;0;0
2020-01-14;0;1;0;0;0;0;0;0
2020-01-15;0;0;0;0;0;0;1;0
2020-01-16;0;0;0;0;0;0;0;0
2020-01-17;0;0;0;1;0;0;4;0
2020-01-18;0;0;0;0;0;0;17;0
2020-01-19;0;0;0;0;0;0;136;0
2020-01-20;0;0;0;0;0;0;20;0
2020-01-21;0;1;0;0;0;0;152;0
2020-01-22;0;0;0;2;0;0;140;0
2020-01-23;0;0;0;0;0;0;97;0
2020-01-24;0;0;0;0;0;0;266;0
2020-01-25;0;1;0;2;3;0;447;0
2020-01-26;0;1;0;0;0;0;672;0
2020-01-27;0;3;0;3;0;1;790;0
2020-01-28;0;1;0;7;1;0;1758;0
2020-01-29;0;1;0;0;4;0;1475;0
2020-01-30;0;1;0;1;2;3;1750;0
2020-01-31;0;1;0;0;5;0;1995;0
2020-02-01;0;2;0;5;8;0;2107;0
2020-02-02;0;1;0;1;1;1;2604;0
2020-02-03;0;3;0;0;1;0;2814;0
2020-02-04;0;0;0;1;3;0;3239;0
2020-02-05;0;1;0;6;1;0;3890;10
2020-02-06;0;1;0;0;0;0;3740;10
2020-02-07;0;2;0;0;2;0;3173;41
2020-02-08;0;0;0;7;6;2;3424;3
2020-02-09;0;0;0;0;0;0;2618;0
2020-02-10;0;0;0;0;5;0;2981;6
2020-02-11;0;2;0;0;1;1;2494;65
2020-02-12;0;0;0;1;2;0;2030;39
2020-02-13;0;1;0;0;1;0;15149;0
2020-02-14;0;1;0;0;0;0;4167;47
2020-02-15;0;1;0;1;0;1;2557;0
2020-02-16;0;0;0;0;0;0;2028;134
2020-02-17;0;0;0;0;1;1;2065;0
2020-02-18;0;0;0;1;0;0;1895;99
2020-02-19;0;0;0;0;0;0;1776;88
2020-02-20;0;0;0;0;0;2;451;79
2020-02-21;0;2;0;0;0;3;978;13
2020-02-22;0;19;0;0;15;16;1035;0
2020-02-23;0;1;0;0;63;12;934;0
2020-02-24;0;0;0;0;54;19;393;57
2020-02-25;0;22;0;2;98;25;648;0
2020-02-26;1;0;1;3;109;67;686;0
2020-02-27;0;7;0;0;107;72;914;14
2020-02-28;1;8;0;0;342;133;787;0
2020-02-29;0;11;0;2;326;153;1368;0
2020-03-01;2;8;2;0;429;218;1184;0
2020-03-02;0;24;6;3;711;407;917;0
