,dateRep,continentExp,cases,deaths
0,1/1/20,Afrique,0,0
1,1/1/20,Amérique du Nord,0,0
2,1/1/20,Amérique latine,0,0
3,1/1/20,Asie du Sud-Est,0,0
4,1/1/20,Europe,0,0
5,1/1/20,Méditerranée orientale,0,0
6,1/1/20,Other,0,0
7,1/1/20,Pacifique occidental,0,0
8,1/10/20,Afrique,0,0
9,1/10/20,Amérique du Nord,0,0
10,1/10/20,Amérique latine,0,0
11,1/10/20,Asie du Sud-Est,0,0
12,1/10/20,Europe,0,0
13,1/10/20,Méditerranée orientale,0,0
14,1/10/20,Other,0,0
15,1/10/20,Pacifique occidental,0,0
16,1/11/20,Afrique,0,0
17,1/11/20,Amérique du Nord,0,0
18,1/11/20,Amérique latine,0,0
19,1/11/20,Asie du Sud-Est,0,0
20,1/11/20,Europe,0,0
21,1/11/20,Méditerranée orientale,0,0
22,1/11/20,Other,0,0
23,1/11/20,Pacifique occidental,0,1
24,1/12/20,Afrique,0,0
25,1/12/20,Amérique du Nord,0,0
26,1/12/20,Amérique latine,0,0
27,1/12/20,Asie du Sud-Est,0,0
28,1/12/20,Europe,0,0
29,1/12/20,Méditerranée orientale,0,0
30,1/12/20,Other,0,0
31,1/12/20,Pacifique occidental,0,0
32,1/13/20,Afrique,0,0
33,1/13/20,Amérique du Nord,0,0
34,1/13/20,Amérique latine,0,0
35,1/13/20,Asie du Sud-Est,1,0
36,1/13/20,Europe,0,0
37,1/13/20,Méditerranée orientale,0,0
38,1/13/20,Other,0,0
39,1/13/20,Pacifique occidental,0,0
40,1/14/20,Afrique,0,0
41,1/14/20,Amérique du Nord,0,0
42,1/14/20,Amérique latine,0,0
43,1/14/20,Asie du Sud-Est,0,0
44,1/14/20,Europe,0,0
45,1/14/20,Méditerranée orientale,0,0
46,1/14/20,Other,0,0
47,1/14/20,Pacifique occidental,0,0
48,1/15/20,Afrique,0,0
49,1/15/20,Amérique du Nord,0,0
50,1/15/20,Amérique latine,0,0
51,1/15/20,Asie du Sud-Est,0,0
52,1/15/20,Europe,0,0
53,1/15/20,Méditerranée orientale,0,0
54,1/15/20,Other,0,0
55,1/15/20,Pacifique occidental,1,1
56,1/16/20,Afrique,0,0
57,1/16/20,Amérique du Nord,0,0
58,1/16/20,Amérique latine,0,0
59,1/16/20,Asie du Sud-Est,0,0
60,1/16/20,Europe,0,0
61,1/16/20,Méditerranée orientale,0,0
62,1/16/20,Other,0,0
63,1/16/20,Pacifique occidental,0,0
64,1/17/20,Afrique,0,0
65,1/17/20,Amérique du Nord,0,0
66,1/17/20,Amérique latine,0,0
67,1/17/20,Asie du Sud-Est,1,0
68,1/17/20,Europe,0,0
69,1/17/20,Méditerranée orientale,0,0
70,1/17/20,Other,0,0
71,1/17/20,Pacifique occidental,4,0
72,1/18/20,Afrique,0,0
73,1/18/20,Amérique du Nord,0,0
74,1/18/20,Amérique latine,0,0
75,1/18/20,Asie du Sud-Est,0,0
76,1/18/20,Europe,0,0
77,1/18/20,Méditerranée orientale,0,0
78,1/18/20,Other,0,0
79,1/18/20,Pacifique occidental,17,0
80,1/19/20,Afrique,0,0
81,1/19/20,Amérique du Nord,0,0
82,1/19/20,Amérique latine,0,0
83,1/19/20,Asie du Sud-Est,0,0
84,1/19/20,Europe,0,0
85,1/19/20,Méditerranée orientale,0,0
86,1/19/20,Other,0,0
87,1/19/20,Pacifique occidental,136,1
88,1/2/20,Afrique,0,0
89,1/2/20,Amérique du Nord,0,0
90,1/2/20,Amérique latine,0,0
91,1/2/20,Asie du Sud-Est,0,0
92,1/2/20,Europe,0,0
93,1/2/20,Méditerranée orientale,0,0
94,1/2/20,Other,0,0
95,1/2/20,Pacifique occidental,0,0
96,1/20/20,Afrique,0,0
97,1/20/20,Amérique du Nord,0,0
98,1/20/20,Amérique latine,0,0
99,1/20/20,Asie du Sud-Est,0,0
100,1/20/20,Europe,0,0
101,1/20/20,Méditerranée orientale,0,0
102,1/20/20,Other,0,0
103,1/20/20,Pacifique occidental,20,0
104,1/21/20,Afrique,0,0
105,1/21/20,Amérique du Nord,1,0
106,1/21/20,Amérique latine,0,0
107,1/21/20,Asie du Sud-Est,0,0
108,1/21/20,Europe,0,0
109,1/21/20,Méditerranée orientale,0,0
110,1/21/20,Other,0,0
111,1/21/20,Pacifique occidental,152,3
112,1/22/20,Afrique,0,0
113,1/22/20,Amérique du Nord,0,0
114,1/22/20,Amérique latine,0,0
115,1/22/20,Asie du Sud-Est,2,0
116,1/22/20,Europe,0,0
117,1/22/20,Méditerranée orientale,0,0
118,1/22/20,Other,0,0
119,1/22/20,Pacifique occidental,140,11
120,1/23/20,Afrique,0,0
121,1/23/20,Amérique du Nord,0,0
122,1/23/20,Amérique latine,0,0
123,1/23/20,Asie du Sud-Est,0,0
124,1/23/20,Europe,0,0
125,1/23/20,Méditerranée orientale,0,0
126,1/23/20,Other,0,0
127,1/23/20,Pacifique occidental,97,0
128,1/24/20,Afrique,0,0
129,1/24/20,Amérique du Nord,0,0
130,1/24/20,Amérique latine,0,0
131,1/24/20,Asie du Sud-Est,0,0
132,1/24/20,Europe,0,0
133,1/24/20,Méditerranée orientale,0,0
134,1/24/20,Other,0,0
135,1/24/20,Pacifique occidental,266,9
136,1/25/20,Afrique,0,0
137,1/25/20,Amérique du Nord,1,0
138,1/25/20,Amérique latine,0,0
139,1/25/20,Asie du Sud-Est,2,0
140,1/25/20,Europe,3,0
141,1/25/20,Méditerranée orientale,0,0
142,1/25/20,Other,0,0
143,1/25/20,Pacifique occidental,447,15
144,1/26/20,Afrique,0,0
145,1/26/20,Amérique du Nord,1,0
146,1/26/20,Amérique latine,0,0
147,1/26/20,Asie du Sud-Est,0,0
148,1/26/20,Europe,0,0
149,1/26/20,Méditerranée orientale,0,0
150,1/26/20,Other,0,0
151,1/26/20,Pacifique occidental,672,15
152,1/27/20,Afrique,0,0
153,1/27/20,Amérique du Nord,3,0
154,1/27/20,Amérique latine,0,0
155,1/27/20,Asie du Sud-Est,3,0
156,1/27/20,Europe,0,0
157,1/27/20,Méditerranée orientale,1,0
158,1/27/20,Other,0,0
159,1/27/20,Pacifique occidental,790,25
160,1/28/20,Afrique,0,0
161,1/28/20,Amérique du Nord,1,0
162,1/28/20,Amérique latine,0,0
163,1/28/20,Asie du Sud-Est,7,0
164,1/28/20,Europe,1,0
165,1/28/20,Méditerranée orientale,0,0
166,1/28/20,Other,0,0
