,Date,Europe,Pacifique,Méditerranée,Amérique du Nord,Amérique latine,Afrique,Asie du Sud-Est
0,12/31/19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1/1/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1/2/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1/3/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1/4/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1/5/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1/6/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1/7/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1/8/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1/9/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1/10/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1/11/20,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,1/12/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1/13/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1/14/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1/15/20,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,1/16/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1/17/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1/18/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1/19/20,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,1/20/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1/21/20,0.0,3.0,0.0,0.0,0.0,0.0,0.0
22,1/22/20,0.0,11.0,0.0,0.0,0.0,0.0,0.0
23,1/23/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1/24/20,0.0,9.0,0.0,0.0,0.0,0.0,0.0
25,1/25/20,0.0,15.0,0.0,0.0,0.0,0.0,0.0
26,1/26/20,0.0,15.0,0.0,0.0,0.0,0.0,0.0
27,1/27/20,0.0,25.0,0.0,0.0,0.0,0.0,0.0
28,1/28/20,0.0,25.0,0.0,0.0,0.0,0.0,0.0
29,1/29/20,0.0,26.0,0.0,0.0,0.0,0.0,0.0
30,1/30/20,0.0,38.0,0.0,0.0,0.0,0.0,0.0
31,1/31/20,0.0,43.0,0.0,0.0,0.0,0.0,0.0
32,2/1/20,0.0,46.0,0.0,0.0,0.0,0.0,0.0
33,2/2/20,0.0,46.0,0.0,0.0,0.0,0.0,0.0
34,2/3/20,0.0,57.0,0.0,0.0,0.0,0.0,0.0
35,2/4/20,0.0,65.0,0.0,0.0,0.0,0.0,0.0
36,2/5/20,0.0,66.0,0.0,0.0,0.0,0.0,0.0
37,2/6/20,0.0,72.0,0.0,0.0,0.0,0.0,0.0
38,2/7/20,0.0,73.0,0.0,0.0,0.0,0.0,0.0
39,2/8/20,0.0,86.0,0.0,0.0,0.0,0.0,0.0
40,2/9/20,0.0,89.0,0.0,0.0,0.0,0.0,0.0
